"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/13/2026 Call $617.00","BTO","1","$0.81","($81.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","2","$0.08","$15.90"
"4/10/2026","4/10/2026","4/13/2026","","ACH Deposit","ACH","","","$90.96"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","STC","2","$0.41","$81.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","2","$0.10","($20.08)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","2","$0.10","$19.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","3","$0.12","$35.86"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","1","$0.54","($54.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","STC","2","$0.45","$89.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","1","$0.47","($47.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","4","$0.16","($64.16)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","1","$0.18","$17.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","1","$0.18","$17.94"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal fee reversal","DCFD","","","$2.21"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal reversal account ending in 5447","DCFD","","","$123.79"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","2","$0.41","($82.08)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - account ending in 5447","DCF","","","($123.79)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal fee","DCF","","","($2.21)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","STC","1","$0.48","$47.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","3","$0.20","($60.12)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $611.00","STC","1","$0.55","$54.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $611.00","BTO","1","$0.65","($65.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","1","$0.87","($87.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","STC","1","$1.65","$164.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","1","$0.53","$52.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","1","$0.91","($91.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","STC","1","$0.51","$50.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","BTO","1","$0.83","($83.04)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - account ending in 5447","DCF","","","($73.69)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal fee","DCF","","","($1.31)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $614.00","STC","1","$0.44","$43.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","STC","2","$0.78","$155.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $614.00","STC","1","$0.43","$42.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","BTO","2","$0.89","($178.08)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","BTO","1","$1.04","($104.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","STC","1","$0.93","$92.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $614.00","BTO","2","$0.46","($92.08)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","STC","1","$0.50","$49.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","BTO","1","$1.35","($135.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","BTO","1","$1.15","($115.04)"
"4/10/2026","4/10/2026","4/10/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"4/9/2026","4/9/2026","4/9/2026","","ACH REVERSAL","ACH","","","($31.06)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","STC","1","$1.97","$196.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","STC","1","$1.09","$108.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $603.00","STC","1","$0.26","$25.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $605.00","STC","1","$0.50","$49.94"
"4/9/2026","4/9/2026","4/10/2026","","ACH Deposit","ACH","","","$150.00"
"4/9/2026","4/9/2026","4/10/2026","","ACH Deposit","ACH","","","$5.80"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","BTO","2","$1.06","($212.08)"
"4/9/2026","4/9/2026","4/9/2026","","External debit card transfer - withdrawal fee","DCF","","","($1.00)"
"4/9/2026","4/9/2026","4/9/2026","","External debit card transfer - account ending in 5447","DCF","","","($29.00)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $603.00","BTO","1","$1.04","($104.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $606.00","STC","1","$1.43","$142.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $606.00","BTO","1","$1.55","($155.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","STC","4","$0.65","$259.82"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $605.00","BTO","1","$1.25","($125.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","BTO","3","$0.81","($243.12)"
