"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/15/2026","4/15/2026","4/16/2026","TSLA","TSLA 4/15/2026 Call $395.00","STC","1","$0.14","$13.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $637.00","STC","1","$0.28","$27.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $637.00","STC","3","$0.20","$59.86"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $637.00","BTO","6","$0.12","($72.24)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $636.00","STC","1","$0.32","$31.94"
"4/15/2026","4/15/2026","4/16/2026","","ACH Deposit","ACH","","","$100.00"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","STC","1","$0.45","$44.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","STC","2","$0.44","$87.90"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","BTO","2","$0.46","($92.08)"
"4/15/2026","4/15/2026","4/16/2026","","ACH Deposit","ACH","","","$100.00"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","STC","1","$0.42","$41.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","STC","3","$0.44","$131.86"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Put $667.50","STC","1","$0.28","$27.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","BTO","2","$0.16","($32.08)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $636.00","STC","3","$0.06","$17.86"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","STC","3","$0.13","$38.86"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Call $680.00","STC","1","$0.14","$13.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","STC","1","$0.34","$33.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","BTO","3","$0.19","($57.12)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","BTO","1","$0.20","($20.04)"
"4/15/2026","4/15/2026","4/16/2026","TSLA","TSLA 4/17/2026 Call $405.00","BTO","1","$2.20","($220.04)"
"4/15/2026","4/15/2026","4/16/2026","","ACH Deposit","ACH","","","$325.00"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Put $667.50","BTO","1","$0.56","($56.04)"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Call $680.00","STC","1","$0.40","$39.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $633.00","STC","1","$0.78","$77.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $633.00","BTO","1","$0.96","($96.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","BTO","1","$0.64","($64.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","STC","1","$0.94","$93.94"
