underlying,expiry,option_type,strike,contract_key,open_date,close_date,open_process_date,close_process_date,quantity,entry_price,exit_price,pnl_per_contract_dollars,total_pnl_dollars,result,holding_days,source_file_open,source_file_close,description
PLTR,7/18/2025,C,150.0,PLTR|7/18/2025|C|150.0,2025-07-14,2025-07-14,2025-07-14,2025-07-14,1,2.86,2.87,1.0,1.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PLTR 7/18/2025 Call $150.00
SBET,7/18/2025,C,29.0,SBET|7/18/2025|C|29.0,2025-07-15,2025-07-16,2025-07-15,2025-07-16,1,2.58,5.7,312.0,312.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SBET 7/18/2025 Call $29.00
SBET,7/18/2025,C,34.0,SBET|7/18/2025|C|34.0,2025-07-16,2025-07-16,2025-07-16,2025-07-16,1,3.06,2.0,-106.0,-106.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SBET 7/18/2025 Call $34.00
SBET,7/18/2025,C,35.0,SBET|7/18/2025|C|35.0,2025-07-16,2025-07-16,2025-07-16,2025-07-16,1,2.89,2.25,-64.0,-64.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SBET 7/18/2025 Call $35.00
PLTR,7/18/2025,C,150.0,PLTR|7/18/2025|C|150.0,2025-07-14,2025-07-18,2025-07-14,2025-07-18,1,2.93,3.1,17.0,17.0,WIN,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PLTR 7/18/2025 Call $150.00
RGTI,7/18/2025,C,15.0,RGTI|7/18/2025|C|15.0,2025-07-07,2025-07-18,2025-07-07,2025-07-18,1,0.54,2.14,160.0,160.0,WIN,11,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RGTI 7/18/2025 Call $15.00
RGTI,7/18/2025,C,15.0,RGTI|7/18/2025|C|15.0,2025-07-07,2025-07-18,2025-07-07,2025-07-18,1,0.55,2.14,159.0,159.0,WIN,11,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RGTI 7/18/2025 Call $15.00
OPEN,7/25/2025,C,2.0,OPEN|7/25/2025|C|2.0,2025-07-17,2025-07-25,2025-07-17,2025-07-25,1,0.35,0.47,12.0,12.0,WIN,8,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,OPEN 7/25/2025 Call $2.00
VTR,8/15/2025,C,67.5,VTR|8/15/2025|C|67.5,2025-07-18,2025-08-15,2025-07-18,2025-08-15,2,0.94,0.13,-81.0,-162.0,LOSS,28,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,VTR 8/15/2025 Call $67.50
SOFI,8/29/2025,C,23.5,SOFI|8/29/2025|C|23.5,2025-08-15,2025-08-29,2025-08-15,2025-08-29,1,1.15,1.97,82.0,82.0,WIN,14,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SOFI 8/29/2025 Call $23.50
AEO,9/5/2025,C,17.5,AEO|9/5/2025|C|17.5,2025-09-04,2025-09-04,2025-09-04,2025-09-04,2,0.72,1.18,46.0,92.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,AEO 9/5/2025 Call $17.50
SOFI,9/5/2025,C,25.0,SOFI|9/5/2025|C|25.0,2025-09-04,2025-09-05,2025-09-04,2025-09-05,2,0.69,0.57,-12.0,-24.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SOFI 9/5/2025 Call $25.00
SOFI,9/5/2025,C,25.0,SOFI|9/5/2025|C|25.0,2025-09-04,2025-09-05,2025-09-04,2025-09-05,1,0.69,0.57,-12.0,-12.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SOFI 9/5/2025 Call $25.00
ACHR,9/12/2025,C,8.0,ACHR|9/12/2025|C|8.0,2025-09-10,2025-09-12,2025-09-10,2025-09-12,5,0.39,0.72,33.0,165.0,WIN,2,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,ACHR 9/12/2025 Call $8.00
ACHR,9/12/2025,C,8.0,ACHR|9/12/2025|C|8.0,2025-09-10,2025-09-12,2025-09-10,2025-09-12,4,0.39,0.71,32.0,128.0,WIN,2,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,ACHR 9/12/2025 Call $8.00
MRVL,9/12/2025,C,67.0,MRVL|9/12/2025|C|67.0,2025-09-09,2025-09-12,2025-09-09,2025-09-12,1,1.13,0.43,-70.0,-70.0,LOSS,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MRVL 9/12/2025 Call $67.00
MRVL,9/12/2025,C,67.0,MRVL|9/12/2025|C|67.0,2025-09-09,2025-09-12,2025-09-09,2025-09-12,1,1.13,0.43,-70.0,-70.0,LOSS,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MRVL 9/12/2025 Call $67.00
OPEN,9/12/2025,C,3.5,OPEN|9/12/2025|C|3.5,2025-08-18,2025-09-12,2025-08-18,2025-09-12,1,0.78,5.5,472.0,472.0,WIN,25,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,OPEN 9/12/2025 Call $3.50
OPEN,9/12/2025,C,3.5,OPEN|9/12/2025|C|3.5,2025-08-18,2025-09-12,2025-08-18,2025-09-12,1,0.79,5.5,471.0,471.0,WIN,25,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,OPEN 9/12/2025 Call $3.50
UNH,9/12/2025,C,317.5,UNH|9/12/2025|C|317.5,2025-09-08,2025-09-12,2025-09-08,2025-09-12,1,6.2,36.7,3050.0,3050.0,WIN,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UNH 9/12/2025 Call $317.50
CHWY,9/19/2025,C,35.5,CHWY|9/19/2025|C|35.5,2025-09-11,2025-09-18,2025-09-11,2025-09-18,1,1.16,2.55,139.0,139.0,WIN,7,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CHWY 9/19/2025 Call $35.50
CHWY,9/19/2025,C,35.5,CHWY|9/19/2025|C|35.5,2025-09-11,2025-09-18,2025-09-11,2025-09-18,2,1.16,2.55,139.0,278.0,WIN,7,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CHWY 9/19/2025 Call $35.50
PLTR,9/19/2025,C,170.0,PLTR|9/19/2025|C|170.0,2025-09-12,2025-09-18,2025-09-12,2025-09-18,1,5.25,4.95,-30.0,-30.0,LOSS,6,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PLTR 9/19/2025 Call $170.00
UUUU,9/26/2025,C,14.0,UUUU|9/26/2025|C|14.0,2025-09-18,2025-09-18,2025-09-18,2025-09-18,1,0.95,0.85,-10.0,-10.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UUUU 9/26/2025 Call $14.00
UUUU,9/26/2025,C,14.0,UUUU|9/26/2025|C|14.0,2025-09-18,2025-09-18,2025-09-18,2025-09-18,1,0.95,0.85,-10.0,-10.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UUUU 9/26/2025 Call $14.00
UUUU,9/26/2025,C,14.0,UUUU|9/26/2025|C|14.0,2025-09-18,2025-09-18,2025-09-18,2025-09-18,1,0.95,0.85,-10.0,-10.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UUUU 9/26/2025 Call $14.00
CRWV,9/19/2025,C,119.0,CRWV|9/19/2025|C|119.0,2025-09-15,2025-09-19,2025-09-15,2025-09-19,1,5.25,5.45,20.0,20.0,WIN,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CRWV 9/19/2025 Call $119.00
HIMS,9/19/2025,C,49.5,HIMS|9/19/2025|C|49.5,2025-09-10,2025-09-19,2025-09-10,2025-09-19,1,2.6,8.55,595.0,595.0,WIN,9,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,HIMS 9/19/2025 Call $49.50
OKLO,9/19/2025,C,109.0,OKLO|9/19/2025|C|109.0,2025-09-18,2025-09-19,2025-09-18,2025-09-19,1,3.8,23.4,1960.0,1960.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,OKLO 9/19/2025 Call $109.00
UNH,9/19/2025,C,340.0,UNH|9/19/2025|C|340.0,2025-09-18,2025-09-19,2025-09-18,2025-09-19,1,4.4,0.14,-426.0,-426.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UNH 9/19/2025 Call $340.00
BBAI,9/26/2025,C,5.5,BBAI|9/26/2025|C|5.5,2025-09-16,2025-09-22,2025-09-16,2025-09-22,8,0.7,1.15,45.0,360.0,WIN,6,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBAI 9/26/2025 Call $5.50
