symbol,trades,wins,losses,win_rate_pct,total_pnl_dollars,avg_pnl_dollars,avg_entry_price,avg_holding_days,call_pnl_dollars,put_pnl_dollars,call_win_rate_pct,put_win_rate_pct
HOOD,7,7,0,100.0,9337.0,1333.86,4.24,7.86,9337.0,0.0,100.0,0.0
QQQ,530,163,365,30.75,4522.0,8.53,0.81,0.06,5245.0,-723.0,32.17,28.7
NVDA,19,15,4,78.95,4419.0,232.58,2.12,1.63,3276.0,1143.0,62.5,90.91
UNH,6,3,2,50.0,2355.0,392.5,10.04,5.83,2337.0,18.0,40.0,100.0
GLD,31,13,18,41.94,2077.0,67.0,2.23,0.52,484.0,1593.0,57.14,29.41
BYND,6,6,0,100.0,1816.0,302.67,1.19,2.0,1211.0,605.0,100.0,100.0
OKLO,2,1,1,50.0,1765.0,882.5,4.95,1.0,1960.0,-195.0,100.0,0.0
META,11,6,5,54.55,1706.0,155.09,1.0,0.18,78.0,1628.0,50.0,57.14
AMZN,12,11,1,91.67,1199.0,99.92,0.37,0.5,1247.0,-48.0,100.0,0.0
SPY,183,65,117,35.52,1063.0,5.81,1.36,0.31,3433.0,-2370.0,44.21,26.14
OPEN,3,3,0,100.0,955.0,318.33,0.64,19.33,955.0,0.0,100.0,0.0
AAL,12,10,2,83.33,700.0,58.33,0.1,3.17,0.0,700.0,0.0,83.33
PFE,7,7,0,100.0,571.0,81.57,0.6,1.86,571.0,0.0,100.0,0.0
CHWY,5,5,0,100.0,533.0,106.6,2.29,10.4,533.0,0.0,100.0,0.0
UUUU,6,3,3,50.0,530.0,88.33,1.1,4.83,530.0,0.0,50.0,0.0
MU,1,1,0,100.0,514.0,514.0,9.51,9.0,514.0,0.0,100.0,0.0
MSFT,5,2,3,40.0,421.0,84.2,4.62,1.0,421.0,0.0,40.0,0.0
BIDU,1,1,0,100.0,376.0,376.0,4.99,7.0,376.0,0.0,100.0,0.0
RR,5,5,0,100.0,341.0,68.2,1.21,10.8,341.0,0.0,100.0,0.0
MRNA,5,3,2,60.0,340.0,68.0,1.35,3.4,374.0,-34.0,75.0,0.0
SOFI,5,2,3,40.0,338.0,67.6,1.03,7.0,338.0,0.0,40.0,0.0
RGTI,2,2,0,100.0,319.0,159.5,0.55,11.0,319.0,0.0,100.0,0.0
ACHR,2,2,0,100.0,293.0,146.5,0.39,2.0,293.0,0.0,100.0,0.0
IREN,1,1,0,100.0,277.0,277.0,8.98,5.0,277.0,0.0,100.0,0.0
DAL,4,2,2,50.0,262.0,65.5,1.04,1.5,-38.0,300.0,0.0,100.0
CVS,3,2,1,66.67,251.0,83.67,0.91,7.0,271.0,-20.0,100.0,0.0
SBET,3,1,2,33.33,142.0,47.33,2.84,0.33,142.0,0.0,33.33,0.0
AEO,1,1,0,100.0,92.0,92.0,0.72,0.0,92.0,0.0,100.0,0.0
XYZ,5,1,4,20.0,41.0,8.2,0.7,1.2,89.0,-48.0,100.0,0.0
AAPL,2,2,0,100.0,35.0,17.5,1.07,1.0,35.0,0.0,100.0,0.0
TMC,1,1,0,100.0,35.0,35.0,1.4,4.0,35.0,0.0,100.0,0.0
DIS,3,2,1,66.67,30.0,10.0,1.83,2.67,30.0,0.0,66.67,0.0
CRWV,1,1,0,100.0,20.0,20.0,5.25,4.0,20.0,0.0,100.0,0.0
BABA,3,1,2,33.33,16.0,5.33,7.03,1.0,16.0,0.0,33.33,0.0
LAC,1,1,0,100.0,10.0,10.0,3.9,9.0,10.0,0.0,100.0,0.0
ORCL,1,0,1,0.0,-9.0,-9.0,11.89,1.0,-9.0,0.0,0.0,0.0
CNC,1,0,1,0.0,-14.0,-14.0,1.14,4.0,-14.0,0.0,0.0,0.0
AI,5,0,5,0.0,-40.0,-8.0,0.1,0.0,-40.0,0.0,0.0,0.0
BBWI,8,2,6,25.0,-46.0,-5.75,0.45,10.25,-156.0,110.0,20.0,33.33
LUV,4,0,2,0.0,-50.0,-12.5,1.14,1.5,-50.0,0.0,0.0,0.0
BBAI,4,1,3,25.0,-51.0,-12.75,1.22,59.25,-51.0,0.0,25.0,0.0
RKLB,1,0,1,0.0,-55.0,-55.0,7.1,0.0,-55.0,0.0,0.0,0.0
SOYB,1,0,1,0.0,-60.0,-60.0,0.24,12.0,-60.0,0.0,0.0,0.0
TSLA,1,0,1,0.0,-121.0,-121.0,1.35,0.0,-121.0,0.0,0.0,0.0
UNP,1,0,1,0.0,-130.0,-130.0,1.9,1.0,-130.0,0.0,0.0,0.0
HIMS,7,1,6,14.29,-135.0,-19.29,1.4,2.57,477.0,-612.0,50.0,0.0
MRVL,2,0,2,0.0,-140.0,-70.0,1.13,3.0,-140.0,0.0,0.0,0.0
AMD,1,0,1,0.0,-146.0,-146.0,3.67,4.0,-146.0,0.0,0.0,0.0
VTR,1,0,1,0.0,-162.0,-162.0,0.94,28.0,-162.0,0.0,0.0,0.0
NOK,4,0,4,0.0,-276.0,-69.0,0.31,10.0,-216.0,-60.0,0.0,0.0
ONDS,2,0,2,0.0,-285.0,-142.5,1.97,57.0,-285.0,0.0,0.0,0.0
HIVE,6,0,6,0.0,-750.0,-125.0,0.45,11.0,-750.0,0.0,0.0,0.0
TMQ,2,0,2,0.0,-774.0,-387.0,3.49,64.0,-774.0,0.0,0.0,0.0
PLTR,5,3,2,60.0,-799.0,-159.8,4.41,3.2,-799.0,0.0,60.0,0.0
QUBT,1,0,1,0.0,-1264.0,-1264.0,1.77,15.0,-1264.0,0.0,0.0,0.0
JD,12,0,12,0.0,-1614.0,-134.5,1.14,14.92,-1444.0,-170.0,0.0,0.0
